,SM_MFEA_DaS_rand_percent_00,MFEA_SBX,MTEA_AD,SBS_GA,EBS_GA,LSA_SBX,MaTGA,S-MFEA_SBX,EME-BI
319,93.62568432199629,530.8133151000002,31217.75848099999,373.22734999999983,362.37929700000007,181.2529952666667,98.60395599999995,90.91722209999998,98.24561633333334
320,11.994780832103723,40.1881513,42.937214999999995,1.888292,3.503573000000002,6.805530466666666,2.5503569999999995,11.11347733333333,2.8030780999999996
321,0.0,4.6368287,21.380913,0.002251999999999999,0.0037409999999999982,0.0,0.031483999999999984,0.0,0.0
322,89.13117135541897,534.4884605333333,30988.246224,369.739048,360.5328430000002,171.59764626666671,92.62363899999995,143.35598869999998,145.93493453333335
323,10.229159037669461,41.28254223333333,43.02821999999999,2.165298,4.110528000000001,8.862012300000005,3.314117,10.790965266666666,3.5776915333333332
324,0.0,4.461521199999999,21.377253,0.002204999999999999,0.003201999999999998,0.0,0.026618000000000006,0.0,0.0
325,103.78883434176382,538.4557130000001,31433.035875000027,372.7560119999999,343.775775,154.36142616666666,92.45912300000005,82.6157804,140.84923456666667
326,11.417332787441536,43.26998376666665,42.696893000000024,1.928792000000001,4.129555999999997,7.392088466666666,2.5129940000000004,9.953533633333336,3.7605417333333335
327,0.0,4.437140833333334,21.383992,0.0019679999999999993,0.003615999999999998,0.0,0.03119700000000001,0.0,0.0
328,75.69596054226913,518.2037777333333,30940.191597,360.30171800000005,367.90906200000006,162.06458170000002,90.66167099999998,118.32778426666671,133.0595167333333
329,12.93069432213443,40.07315526666665,43.023532,2.0196789999999982,3.6215959999999976,7.565368366666666,2.8182560000000003,11.740887333333335,2.8499325333333343
330,0.0,4.559281966666669,21.37334199999999,0.0021839999999999993,0.004087999999999998,0.0,0.02580899999999998,0.0,0.0
331,89.9133832999069,570.7280063333334,31041.70272399998,371.251198,355.5775809999997,178.7809877666667,97.76628699999996,94.6624582,109.66268120000001
332,10.59067064440955,40.39600156666667,42.787260999999965,2.194964999999998,3.208264999999998,8.091370366666668,2.612617,10.097833333333332,3.2506234666666662
333,0.0,4.456467899999999,21.364613,0.0019930000000000013,0.003486000000000002,0.0,0.02593800000000001,0.0,0.0
334,106.20408282979722,548.4789286333332,30800.436244999994,352.09935000000024,364.3185,139.77598086666669,94.525078,122.14920329999998,110.2890545
335,10.478005729361307,39.63835583333334,42.59575600000001,2.103099,3.166934999999999,7.0273006,2.8838169999999987,11.709106933333333,3.3546431666666674
336,0.0,4.393770600000001,21.379144999999998,0.002063999999999998,0.0035209999999999972,0.0,0.025321000000000007,0.0,0.0
337,80.7844300603398,535.4983527666667,30782.180244000014,375.71387300000004,350.2024949999997,121.40338176666664,89.41318200000005,131.3034961,117.19942669999999
338,10.695976993696272,41.10589550000001,42.99283599999998,1.422103,3.4441049999999978,6.614805233333333,2.6239289999999995,9.573265366666666,2.2631883
339,0.0,4.5074406,21.369947000000014,0.002151,0.003237,0.0,0.024032000000000015,0.0,0.0
340,106.32405711989513,533.2441587999999,31148.672396000005,347.6839870000002,360.27396600000003,164.28551323333335,93.23677600000003,108.97188963333335,114.5071398
341,10.61651613480945,41.86458843333334,42.89228400000001,1.8696610000000005,2.79074,9.3697761,4.028345000000001,12.642300466666665,3.303672900000001
